BodyType,Make,GenModel,Model,Fuel,Period,Licensed,SORN
Buses and coaches,AIXAM,AIXAM MODEL MISSING,MISSING,Diesel,2023-2024/Q1,4.0,1.0
Buses and coaches,ALBION,ALBION MODEL MISSING,MISSING,Diesel,2023-2024/Q1,32.0,13.0
Buses and coaches,ALBION,ALBION MODEL MISSING,MISSING,Petrol,2023-2024/Q1,9.0,2.0
Buses and coaches,ALEXANDER DENNIS,ALEXANDER DENNIS MODEL MISSING,MISSING,Battery electric,2023-2024/Q1,4.0,1.0
Buses and coaches,ALEXANDER DENNIS,ALEXANDER DENNIS MODEL MISSING,MISSING,Diesel,2023-2024/Q1,15366.0,1034.0
Cars,ABARTH,ABARTH 124,124 GT MULTIAIR,Petrol,2023-2024/Q1,17.0,3.0
Cars,ABARTH,ABARTH 124,124 GT MULTIAIR AUTO,Petrol,2023-2024/Q1,25.0,2.0
Cars,ABARTH,ABARTH 500,500,Petrol,2023-2024/Q1,3878.0,273.0
Cars,ABARTH,ABARTH 500,500 C,Petrol,2023-2024/Q1,143.0,5.0
Cars,ABARTH,ABARTH 500,500 C S-A,Petrol,2023-2024/Q1,367.0,38.0
Cars,ABARTH,ABARTH 500,500 CUSTOM,Petrol,2023-2024/Q1,341.0,7.0
Cars,ABARTH,ABARTH 500,500 CUSTOM S-A,Petrol,2023-2024/Q1,96.0,4.0
Cars,ABARTH,ABARTH 500,500 S-A,Petrol,2023-2024/Q1,78.0,4.0
Cars,ABARTH,ABARTH 500,500C,Petrol,2023-2024/Q1,131.0,1.0
Cars,ABARTH,ABARTH 500,500C CUSTOM,Petrol,2023-2024/Q1,42.0,1.0
Cars,ABARTH,ABARTH 500,500C CUSTOM S-A,Petrol,2023-2024/Q1,39.0,0.0
Cars,ABARTH,ABARTH 500,500C S-A,Petrol,2023-2024/Q1,14.0,1.0
Cars,ABARTH,ABARTH 595,595,Petrol,2023-2024/Q1,6626.0,76.0
Cars,ABARTH,ABARTH 595,595 50 ANNIVERSARIO S-A,Petrol,2023-2024/Q1,34.0,5.0
Cars,ABARTH,ABARTH 595,595 COMPETIZIONE,Petrol,2023-2024/Q1,3627.0,75.0
Cars,ABARTH,ABARTH 595,595 COMPETIZIONE S-A,Petrol,2023-2024/Q1,351.0,11.0
Cars,ABARTH,ABARTH 595,595 ESSEESSE,Petrol,2023-2024/Q1,260.0,7.0
Cars,ABARTH,ABARTH 595,595 ESSEESSE S-A,Petrol,2023-2024/Q1,1.0,
Cars,ABARTH,ABARTH 595,595 MONSTER YAMAHA,Petrol,2023-2024/Q1,110.0,2.0
Cars,ABARTH,ABARTH 595,595 PISTA,Petrol,2023-2024/Q1,2.0,
Cars,ABARTH,ABARTH 595,595 PISTA 70TH ANNIVERSARY,Petrol,2023-2024/Q1,203.0,3.0
Cars,ABARTH,ABARTH 595,595 PISTA 70TH ANNIVERSARY S-A,Petrol,2023-2024/Q1,4.0,
Cars,ABARTH,ABARTH 595,595 PISTA S-A,Petrol,2023-2024/Q1,1.0,
Cars,ABARTH,ABARTH 595,595 S-A,Petrol,2023-2024/Q1,251.0,4.0
Cars,ABARTH,ABARTH 595,595 SCORPIONEORO,Petrol,2023-2024/Q1,215.0,3.0
Cars,ABARTH,ABARTH 595,595 TROFEO,Petrol,2023-2024/Q1,1014.0,18.0
Cars,ABARTH,ABARTH 595,595 TURISMO,Petrol,2023-2024/Q1,4163.0,52.0
Cars,ABARTH,ABARTH 595,595 TURISMO S-A,Petrol,2023-2024/Q1,573.0,13.0
Cars,ABARTH,ABARTH 595,595 YAMAHA FACTORY RACING,Petrol,2023-2024/Q1,123.0,3.0
Cars,ABARTH,ABARTH 595,595C,Petrol,2023-2024/Q1,756.0,11.0
Cars,ABARTH,ABARTH 595,595C COMPETIZIONE,Petrol,2023-2024/Q1,421.0,14.0
Cars,ABARTH,ABARTH 595,595C COMPETIZIONE S-A,Petrol,2023-2024/Q1,223.0,15.0
Cars,ABARTH,ABARTH 595,595C ESSEESSE,Petrol,2023-2024/Q1,14.0,
Cars,ABARTH,ABARTH 595,595C ESSEESSE S-A,Petrol,2023-2024/Q1,1.0,
Cars,ABARTH,ABARTH 595,595C PISTA,Petrol,2023-2024/Q1,1.0,
Cars,ABARTH,ABARTH 595,595C PISTA 70TH ANNIVERSARY,Petrol,2023-2024/Q1,39.0,0.0
