Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
1994-1995/q4,1994-1995/Q4,1994-1995/q4,,0,,http://reference.data.gov.uk/id/government-quarter/1994-1995/Q4
1995-1996/q4,1995-1996/Q4,1995-1996/q4,,1,,http://reference.data.gov.uk/id/government-quarter/1995-1996/Q4
1996-1997/q4,1996-1997/Q4,1996-1997/q4,,2,,http://reference.data.gov.uk/id/government-quarter/1996-1997/Q4
1997-1998/q4,1997-1998/Q4,1997-1998/q4,,3,,http://reference.data.gov.uk/id/government-quarter/1997-1998/Q4
1998-1999/q4,1998-1999/Q4,1998-1999/q4,,4,,http://reference.data.gov.uk/id/government-quarter/1998-1999/Q4
1999-2000/q4,1999-2000/Q4,1999-2000/q4,,5,,http://reference.data.gov.uk/id/government-quarter/1999-2000/Q4
2000-2001/q4,2000-2001/Q4,2000-2001/q4,,6,,http://reference.data.gov.uk/id/government-quarter/2000-2001/Q4
2001-2002/q4,2001-2002/Q4,2001-2002/q4,,7,,http://reference.data.gov.uk/id/government-quarter/2001-2002/Q4
2002-2003/q4,2002-2003/Q4,2002-2003/q4,,8,,http://reference.data.gov.uk/id/government-quarter/2002-2003/Q4
2003-2004/q4,2003-2004/Q4,2003-2004/q4,,9,,http://reference.data.gov.uk/id/government-quarter/2003-2004/Q4
2004-2005/q4,2004-2005/Q4,2004-2005/q4,,10,,http://reference.data.gov.uk/id/government-quarter/2004-2005/Q4
2005-2006/q4,2005-2006/Q4,2005-2006/q4,,11,,http://reference.data.gov.uk/id/government-quarter/2005-2006/Q4
2006-2007/q4,2006-2007/Q4,2006-2007/q4,,12,,http://reference.data.gov.uk/id/government-quarter/2006-2007/Q4
2007-2008/q4,2007-2008/Q4,2007-2008/q4,,13,,http://reference.data.gov.uk/id/government-quarter/2007-2008/Q4
2008-2009/q3,2008-2009/Q3,2008-2009/q3,,14,,http://reference.data.gov.uk/id/government-quarter/2008-2009/Q3
2008-2009/q4,2008-2009/Q4,2008-2009/q4,,15,,http://reference.data.gov.uk/id/government-quarter/2008-2009/Q4
2009-2010/q1,2009-2010/Q1,2009-2010/q1,,16,,http://reference.data.gov.uk/id/government-quarter/2009-2010/Q1
2009-2010/q2,2009-2010/Q2,2009-2010/q2,,17,,http://reference.data.gov.uk/id/government-quarter/2009-2010/Q2
2009-2010/q3,2009-2010/Q3,2009-2010/q3,,18,,http://reference.data.gov.uk/id/government-quarter/2009-2010/Q3
2009-2010/q4,2009-2010/Q4,2009-2010/q4,,19,,http://reference.data.gov.uk/id/government-quarter/2009-2010/Q4
