Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
aixam,aixam,aixam,,0,
albion,albion,albion,,1,
alexander-dennis,alexander dennis,alexander-dennis,,2,
all-wheel-drive,all wheel drive,all-wheel-drive,,3,
arrival,arrival,arrival,,4,
asquith,asquith,asquith,,5,
aston-martin,aston martin,aston-martin,,6,
atlas,atlas,atlas,,7,
audi,audi,audi,,8,
austin,austin,austin,,9,
austin-healey,austin healey,austin-healey,,10,
austin-morris,austin morris,austin-morris,,11,
autosan,autosan,autosan,,12,
baroni,baroni,baroni,,13,
barossa,barossa,barossa,,14,
battistinis,battistinis,battistinis,,15,
bedford,bedford,bedford,,16,
benford,benford,benford,,17,
bmc,bmc,bmc,,18,
bmw,bmw,bmw,,19,
bomag,bomag,bomag,,20,
bova,bova,bova,,21,
bristol,bristol,bristol,,22,
bristol-blmc,bristol (blmc),bristol-blmc,,23,
byd,byd,byd,,24,
cadillac,cadillac,cadillac,,25,
caetano,caetano,caetano,,26,
can-am,can-am,can-am,,27,
capri,capri,capri,,28,
casal,casal,casal,,29,
case-ih,case ih,case-ih,,30,
caterpillar,caterpillar,caterpillar,,31,
cfmoto,cfmoto,cfmoto,,32,
chausson,chausson,chausson,,33,
chevrolet,chevrolet,chevrolet,,34,
chevrolet-gmc,chevrolet gmc,chevrolet-gmc,,35,
chrysler,chrysler,chrysler,,36,
citroen,citroen,citroen,,37,
claas,claas,claas,,38,
classic-replicas,classic replicas,classic-replicas,,39,
clayton,clayton,clayton,,40,
colt,colt,colt,,41,
commer,commer,commer,,42,
daewoo,daewoo,daewoo,,43,
daf,daf,daf,,44,
daf-trucks,daf trucks,daf-trucks,,45,
daihatsu,daihatsu,daihatsu,,46,
daimler,daimler,daimler,,47,
datsun,datsun,datsun,,48,
david-brown,david brown,david-brown,,49,
demm,demm,demm,,50,
dennis,dennis,dennis,,51,
dennis-fire,dennis fire,dennis-fire,,52,
dfsk,dfsk,dfsk,,53,
dodge,dodge,dodge,,54,
eagle,eagle,eagle,,55,
ebro,ebro,ebro,,56,
eos,eos,eos,,57,
erf,erf,erf,,58,
farboud,farboud,farboud,,59,
ferrari,ferrari,ferrari,,60,
fiat,fiat,fiat,,61,
foden,foden,foden,,62,
ford,ford,ford,,63,
fordson,fordson,fordson,,64,
freight-rover,freight rover,freight-rover,,65,
fso-cars,fso cars,fso-cars,,66,
gas-gas,gas gas,gas-gas,,67,
gaz,gaz,gaz,,68,
general-motors,general motors,general-motors,,69,
gilera,gilera,gilera,,70,
guy,guy,guy,,71,
harbilt-electric,harbilt electric,harbilt-electric,,72,
higer,higer,higer,,73,
holden,holden,holden,,74,
honda,honda,honda,,75,
humber,humber,humber,,76,
hummer,hummer,hummer,,77,
hyster,hyster,hyster,,78,
hyundai,hyundai,hyundai,,79,
indcar,indcar,indcar,,80,
int-harvester,int. harvester,int-harvester,,81,
irisbus,irisbus,irisbus,,82,
irizar,irizar,irizar,,83,
isuzu,isuzu,isuzu,,84,
isuzu-trucks,isuzu trucks,isuzu-trucks,,85,
iveco,iveco,iveco,,86,
iveco-ford,iveco-ford,iveco-ford,,87,
jaguar,jaguar,jaguar,,88,
jawa,jawa,jawa,,89,
jcb,jcb,jcb,,90,
jeep,jeep,jeep,,91,
jensen,jensen,jensen,,92,
john-allen,john allen,john-allen,,93,
john-deere,john deere,john-deere,,94,
karrier,karrier,karrier,,95,
kassbohrer,kassbohrer,kassbohrer,,96,
kawasaki,kawasaki,kawasaki,,97,
kia,kia,kia,,98,
king-long,king long,king-long,,99,
lada,lada,lada,,100,
lancia,lancia,lancia,,101,
land-rover,land rover,land-rover,,102,
ldv,ldv,ldv,,103,
leyland,leyland,leyland,,104,
leyland-aec,leyland aec,leyland-aec,,105,
leyland-am,leyland am,leyland-am,,106,
leyland-cars,leyland cars,leyland-cars,,107,
leyland-daf,leyland daf,leyland-daf,,108,
leyland-national,leyland national,leyland-national,,109,
leyland-redline,leyland redline,leyland-redline,,110,
leyland-scotstoun,leyland scotstoun,leyland-scotstoun,,111,
lincoln,lincoln,lincoln,,112,
lonsdale,lonsdale,lonsdale,,113,
magirus-deutz,magirus deutz,magirus-deutz,,114,
mahindra,mahindra,mahindra,,115,
make-missing,make missing,make-missing,,116,
man,man,man,,117,
man/vw,man/vw,man/vw,,118,
manitou,manitou,manitou,,119,
marshall,marshall,marshall,,120,
maserati,maserati,maserati,,121,
massey-ferguson,massey ferguson,massey-ferguson,,122,
matbro,matbro,matbro,,123,
maxus,maxus,maxus,,124,
mazda,mazda,mazda,,125,
mcw,mcw,mcw,,126,
mercedes,mercedes,mercedes,,127,
mercedes-benz,mercedes-benz,mercedes-benz,,128,
mercury,mercury,mercury,,129,
metrocab,metrocab,metrocab,,130,
mitsubishi,mitsubishi,mitsubishi,,131,
morgan,morgan,morgan,,132,
morris,morris,morris,,133,
muir-hill,muir-hill,muir-hill,,134,
neoplan,neoplan,neoplan,,135,
nissan,nissan,nissan,,136,
nsu,nsu,nsu,,137,
oldsmobile,oldsmobile,oldsmobile,,138,
opel,opel,opel,,139,
optare,optare,optare,,140,
orion,orion,orion,,141,
other-agric/constructional,other agric/constructional,other-agric/constructional,,142,
other-british,other british,other-british,,143,
other-countries,other countries,other-countries,,144,
other-east-european,other east european,other-east-european,,145,
other-electric,other electric,other-electric,,146,
other-french,other french,other-french,,147,
other-german,other german,other-german,,148,
other-italian,other italian,other-italian,,149,
other-japanese/asian,other japanese/asian,other-japanese/asian,,150,
other-us/aust/can,other us/aust/can,other-us/aust/can,,151,
other-west-european,other west european,other-west-european,,152,
other/commercial/thorneycroft,other/commercial/thorneycroft,other/commercial/thorneycroft,,153,
panther,panther,panther,,154,
pegaso,pegaso,pegaso,,155,
peugeot,peugeot,peugeot,,156,
piaggio,piaggio,piaggio,,157,
pinzgauer,pinzgauer,pinzgauer,,158,
plaxton,plaxton,plaxton,,159,
plymouth,plymouth,plymouth,,160,
polaris,polaris,polaris,,161,
pontiac,pontiac,pontiac,,162,
porsche,porsche,porsche,,163,
proton,proton,proton,,164,
puch,puch,puch,,165,
ransome,ransome,ransome,,166,
reliant,reliant,reliant,,167,
renault,renault,renault,,168,
